本編	名詞,一般,*,*,*,*,本編,ホンペン,ホンペン
託そ	動詞,自立,*,*,五段・サ行,未然ウ接続,託す,タクソ,タクソ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
プレイヤー	名詞,一般,*,*,*,*,プレイヤー,プレイヤー,プレイヤー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
到着	名詞,サ変接続,*,*,*,*,到着,トウチャク,トーチャク
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
既に	副詞,一般,*,*,*,*,既に,スデニ,スデニ
死亡	名詞,サ変接続,*,*,*,*,死亡,シボウ,シボー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
（	記号,括弧開,*,*,*,*,（,（,（
難易	名詞,一般,*,*,*,*,難易,ナンイ,ナンイ
度	名詞,接尾,一般,*,*,*,度,ド,ド
によって	助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
ゾンビ	名詞,一般,*,*,*,*,*
と	助詞,格助詞,引用,*,*,*,と,ト,ト
化し	動詞,自立,*,*,五段・サ行,連用形,化す,カシ,カシ
、	記号,読点,*,*,*,*,、,、,、
襲いかかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,襲いかかる,オソイカカッ,オソイカカッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
EOS
グレッグ・ミューラー	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Greg	名詞,一般,*,*,*,*,*
Mueller	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
「	記号,括弧開,*,*,*,*,「,「,「
決意	名詞,サ変接続,*,*,*,*,決意,ケツイ,ケツイ
」	記号,括弧閉,*,*,*,*,」,」,」
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ラクーン	名詞,一般,*,*,*,*,*
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク
教員	名詞,一般,*,*,*,*,教員,キョウイン,キョーイン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
、	記号,読点,*,*,*,*,、,、,、
元	接頭詞,名詞接続,*,*,*,*,元,モト,モト
アンブレラ	名詞,一般,*,*,*,*,*
研究	名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
員	名詞,接尾,一般,*,*,*,員,イン,イン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
アンブレラ	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
裏切り	動詞,自立,*,*,五段・ラ行,連用形,裏切る,ウラギリ,ウラギリ
[	名詞,サ変接続,*,*,*,*,*
5	名詞,数,*,*,*,*,*
]、	名詞,サ変接続,*,*,*,*,*
ピーター・ジェンキンス	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
利用	名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
デイライト	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
独占	名詞,サ変接続,*,*,*,*,独占,ドクセン,ドクセン
しよ	動詞,自立,*,*,サ変・スル,未然ウ接続,する,シヨ,シヨ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
目論む	動詞,自立,*,*,五段・マ行,基本形,目論む,モクロム,モクロム
、	記号,読点,*,*,*,*,、,、,、
タナ	名詞,一般,*,*,*,*,タナ,タナ,タナ
トス	名詞,サ変接続,*,*,*,*,トス,トス,トス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
製作	名詞,サ変接続,*,*,*,*,製作,セイサク,セイサク
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
、	記号,読点,*,*,*,*,、,、,、
また	接続詞,*,*,*,*,*,また,マタ,マタ
兵器	名詞,一般,*,*,*,*,兵器,ヘイキ,ヘイキ
に関して	助詞,格助詞,連語,*,*,*,に関して,ニカンシテ,ニカンシテ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
独自	名詞,形容動詞語幹,*,*,*,*,独自,ドクジ,ドクジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
美学	名詞,一般,*,*,*,*,美学,ビガク,ビガク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
本社	名詞,一般,*,*,*,*,本社,ホンシャ,ホンシャ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
タナ	名詞,一般,*,*,*,*,タナ,タナ,タナ
トス	名詞,サ変接続,*,*,*,*,トス,トス,トス
量産	名詞,サ変接続,*,*,*,*,量産,リョウサン,リョーサン
命令	名詞,サ変接続,*,*,*,*,命令,メイレイ,メイレイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
拒否	名詞,サ変接続,*,*,*,*,拒否,キョヒ,キョヒ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
ヨーコ	名詞,固有名詞,人名,名,*,*,ヨーコ,ヨーコ,ヨーコ
・	記号,一般,*,*,*,*,・,・,・
スズキ	名詞,固有名詞,組織,*,*,*,スズキ,スズキ,スズキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
実験	名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン
体	名詞,接尾,一般,*,*,*,体,タイ,タイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
彼女	名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
記憶	名詞,サ変接続,*,*,*,*,記憶,キオク,キオク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
消し	動詞,自立,*,*,五段・サ行,連用形,消す,ケシ,ケシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
張本人	名詞,一般,*,*,*,*,張本人,チョウホンニン,チョーホンニン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
プレイヤー	名詞,一般,*,*,*,*,プレイヤー,プレイヤー,プレイヤー
達	名詞,接尾,一般,*,*,*,達,タチ,タチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
デイライト	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
完成	名詞,サ変接続,*,*,*,*,完成,カンセイ,カンセイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
一気に	副詞,一般,*,*,*,*,一気に,イッキニ,イッキニ
奪お	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,奪う,ウバオ,ウバオ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
失敗	名詞,サ変接続,*,*,*,*,失敗,シッパイ,シッパイ
、	記号,読点,*,*,*,*,、,、,、
最期	名詞,副詞可能,*,*,*,*,最期,サイゴ,サイゴ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
U	名詞,固有名詞,組織,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
B	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
C	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
S	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
隊員	名詞,一般,*,*,*,*,隊員,タイイン,タイイン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
射殺	名詞,サ変接続,*,*,*,*,射殺,シャサツ,シャサツ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
。	記号,句点,*,*,*,*,。,。,。
EOS
オースチン	名詞,固有名詞,一般,*,*,*,オースチン,オースチン,オースチン
・	記号,一般,*,*,*,*,・,・,・
テイラー	名詞,固有名詞,人名,姓,*,*,テイラー,テイラー,テイラー
(	名詞,サ変接続,*,*,*,*,*
Austin	名詞,一般,*,*,*,*,*
Taylor	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ラクーン	名詞,一般,*,*,*,*,*
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ
園	名詞,接尾,一般,*,*,*,園,エン,エン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
監視	名詞,サ変接続,*,*,*,*,監視,カンシ,カンシ
員	名詞,接尾,一般,*,*,*,員,イン,イン
。	記号,句点,*,*,*,*,。,。,。
勤務	名詞,サ変接続,*,*,*,*,勤務,キンム,キンム
態度	名詞,一般,*,*,*,*,態度,タイド,タイド
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ
園	名詞,接尾,一般,*,*,*,園,エン,エン
勤務	名詞,サ変接続,*,*,*,*,勤務,キンム,キンム
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
最低	名詞,一般,*,*,*,*,最低,サイテイ,サイテイ
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
ハンター	名詞,一般,*,*,*,*,ハンター,ハンター,ハンター
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
腕前	名詞,一般,*,*,*,*,腕前,ウデマエ,ウデマエ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ハンティング	名詞,サ変接続,*,*,*,*,ハンティング,ハンティング,ハンティング
ライフル	名詞,一般,*,*,*,*,ライフル,ライフル,ライフル
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
彼	名詞,代名詞,一般,*,*,*,彼,カレ,カレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
所持	名詞,サ変接続,*,*,*,*,所持,ショジ,ショジ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
。	記号,句点,*,*,*,*,。,。,。
EOS
パトリック	名詞,固有名詞,人名,名,*,*,パトリック,パトリック,パトリック
・	記号,一般,*,*,*,*,・,・,・
レイズ	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Patrick	名詞,一般,*,*,*,*,*
Leis	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
ラクーン	名詞,一般,*,*,*,*,*
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ
園	名詞,接尾,一般,*,*,*,園,エン,エン
職員	名詞,一般,*,*,*,*,職員,ショクイン,ショクイン
。	記号,句点,*,*,*,*,。,。,。
凶暴	名詞,形容動詞語幹,*,*,*,*,凶暴,キョウボウ,キョーボー
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
襲わ	動詞,自立,*,*,五段・ワ行促音便,未然形,襲う,オソワ,オソワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
らしく	助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい,ラシク,ラシク
、	記号,読点,*,*,*,*,、,、,、
プレイヤー	名詞,一般,*,*,*,*,プレイヤー,プレイヤー,プレイヤー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
発見	名詞,サ変接続,*,*,*,*,発見,ハッケン,ハッケン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
瀕死	名詞,一般,*,*,*,*,瀕死,ヒンシ,ヒンシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
状態	名詞,一般,*,*,*,*,状態,ジョウタイ,ジョータイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
まもなく	副詞,助詞類接続,*,*,*,*,まもなく,マモナク,マモナク
事切れる	動詞,自立,*,*,一段,基本形,事切れる,コトキレル,コトキレル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
オースチン	名詞,固有名詞,一般,*,*,*,オースチン,オースチン,オースチン
・	記号,一般,*,*,*,*,・,・,・
テイラー	名詞,固有名詞,人名,姓,*,*,テイラー,テイラー,テイラー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
信頼	名詞,サ変接続,*,*,*,*,信頼,シンライ,シンライ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS
リッキー	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Rickey	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
遺体	名詞,一般,*,*,*,*,遺体,イタイ,イタイ
のみ	助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
地下鉄	名詞,一般,*,*,*,*,地下鉄,チカテツ,チカテツ
職員	名詞,一般,*,*,*,*,職員,ショクイン,ショクイン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
ジム	名詞,固有名詞,人名,名,*,*,ジム,ジム,ジム
・	記号,一般,*,*,*,*,・,・,・
チャップマン	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
同僚	名詞,一般,*,*,*,*,同僚,ドウリョウ,ドーリョー
。	記号,句点,*,*,*,*,。,。,。
メガ	名詞,一般,*,*,*,*,メガ,メガ,メガ
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
噛み付か	動詞,自立,*,*,五段・カ行イ音便,未然形,噛み付く,カミツカ,カミツカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
T	名詞,一般,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
ウイルス	名詞,一般,*,*,*,*,ウイルス,ウイルス,ウイルス
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
感染	名詞,サ変接続,*,*,*,*,感染,カンセン,カンセン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
死亡	名詞,サ変接続,*,*,*,*,死亡,シボウ,シボー
。	記号,句点,*,*,*,*,。,。,。
EOS
リー	名詞,固有名詞,人名,姓,*,*,リー,リー,リー
ガル	名詞,固有名詞,人名,名,*,*,ガル,ガル,ガル
・	記号,一般,*,*,*,*,・,・,・
マレット	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Legal	名詞,一般,*,*,*,*,*
Mallette	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
、	記号,読点,*,*,*,*,、,、,、
ルーシー	名詞,固有名詞,人名,名,*,*,ルーシー,ルーシー,ルーシー
・	記号,一般,*,*,*,*,・,・,・
マレット	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Lucie	名詞,一般,*,*,*,*,*
Mallette	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ラクーンシティ	名詞,一般,*,*,*,*,*
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
脱出	名詞,サ変接続,*,*,*,*,脱出,ダッシュツ,ダッシュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指す	動詞,自立,*,*,五段・サ行,基本形,目指す,メザス,メザス
親子	名詞,一般,*,*,*,*,親子,オヤコ,オヤコ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
リー	名詞,固有名詞,人名,姓,*,*,リー,リー,リー
ガル	名詞,固有名詞,人名,名,*,*,ガル,ガル,ガル
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
母	名詞,一般,*,*,*,*,母,ハハ,ハハ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
ルーシー	名詞,固有名詞,人名,名,*,*,ルーシー,ルーシー,ルーシー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
娘	名詞,一般,*,*,*,*,娘,ムスメ,ムスメ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
脱出	名詞,サ変接続,*,*,*,*,脱出,ダッシュツ,ダッシュツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
森	名詞,一般,*,*,*,*,森,モリ,モリ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
はぐれ	動詞,自立,*,*,一段,連用形,はぐれる,ハグレ,ハグレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
しまっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
状態	名詞,一般,*,*,*,*,状態,ジョウタイ,ジョータイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
プレイヤー	名詞,一般,*,*,*,*,プレイヤー,プレイヤー,プレイヤー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
出会う	動詞,自立,*,*,五段・ワ行促音便,基本形,出会う,デアウ,デアウ
。	記号,句点,*,*,*,*,。,。,。
EOS
エリオット・マーチン	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
Elliot	名詞,一般,*,*,*,*,*
Martin	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ
：	記号,一般,*,*,*,*,：,：,：
67	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
（	記号,括弧開,*,*,*,*,（,（,（
1998	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
『	記号,括弧開,*,*,*,*,『,『,『
OB	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ
のみ	助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
登場	名詞,サ変接続,*,*,*,*,登場,トウジョウ,トージョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ラクーン	名詞,一般,*,*,*,*,*
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ
園	名詞,接尾,一般,*,*,*,園,エン,エン
副	接頭詞,名詞接続,*,*,*,*,副,フク,フク
園長	名詞,一般,*,*,*,*,園長,エンチョウ,エンチョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
6	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
1	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
付け	名詞,接尾,一般,*,*,*,付け,ヅケ,ズケ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
『	記号,括弧開,*,*,*,*,『,『,『
メガ	名詞,一般,*,*,*,*,メガ,メガ,メガ
スクープ	名詞,サ変接続,*,*,*,*,スクープ,スクープ,スクープ
』	記号,括弧閉,*,*,*,*,』,』,』
の	助詞,連体化,*,*,*,*,の,ノ,ノ
『	記号,括弧開,*,*,*,*,『,『,『
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ
園	名詞,接尾,一般,*,*,*,園,エン,エン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
副	接頭詞,名詞接続,*,*,*,*,副,フク,フク
園長	名詞,一般,*,*,*,*,園長,エンチョウ,エンチョー
、	記号,読点,*,*,*,*,、,、,、
ラン	名詞,一般,*,*,*,*,ラン,ラン,ラン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
密売	名詞,サ変接続,*,*,*,*,密売,ミツバイ,ミツバイ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
』	記号,括弧閉,*,*,*,*,』,』,』
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
記事	名詞,一般,*,*,*,*,記事,キジ,キジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
運営	名詞,サ変接続,*,*,*,*,運営,ウンエイ,ウンエイ
資金	名詞,一般,*,*,*,*,資金,シキン,シキン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
遣い込ん	動詞,自立,*,*,五段・マ行,連用タ接続,遣い込む,ツカイコン,ツカイコン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
金	名詞,一般,*,*,*,*,金,キン,キン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
新造	名詞,サ変接続,*,*,*,*,新造,シンゾウ,シンゾー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
植物	名詞,一般,*,*,*,*,植物,ショクブツ,ショクブツ
園	名詞,接尾,一般,*,*,*,園,エン,エン
「	記号,括弧開,*,*,*,*,「,「,「
ジャングルドーム	名詞,固有名詞,一般,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
内	名詞,接尾,一般,*,*,*,内,ナイ,ナイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
野性	名詞,一般,*,*,*,*,野性,ヤセイ,ヤセイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
原種	名詞,一般,*,*,*,*,原種,ゲンシュ,ゲンシュ
ラン	名詞,一般,*,*,*,*,ラン,ラン,ラン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
栽培	名詞,サ変接続,*,*,*,*,栽培,サイバイ,サイバイ
